hack-sign	.hack
cardcaptor-sakura-movie-2-the-sealed-card	Cardcaptor Sakura Movie 2: The Sealed Card
crayon-shin-chan	Crayon Shin-chan
chuunibyou-demo-koi-ga-shitai	Chuunibyou demo Koi ga Shitai!
chuunibyou-demo-koi-ga-shitai-lite	Chuunibyou demo Koi ga Shitai! Lite
chuunibyou-demo-koi-ga-shitai-ren	Chuunibyou demo Koi ga Shitai! Ren
chuunibyou-demo-koi-ga-shitai-ren-specials	Chuunibyou demo Koi ga Shitai! Ren Specials
colorful-movie	Colorful (Movie)
chaos-dragon	Chaos Dragon: Sekiryuu Seneki
citrus	Citrus
chain-chronicle-haecceitas-no-hikari-part-1	Chain Chronicle: Haecceitas no Hikari Part 1
chain-chronicle-haecceitas-no-hikari-part-2	Chain Chronicle: Haecceitas no Hikari Part 2
candy-boy-ex01	Candy Boy Episode: EX01 - Mirai Yohouzu
chain-chronicle-haecceitas-no-hikari-part-3	Chain Chronicle: Haecceitas no Hikari Part 3
cardcaptor-sakura-clear-card-hen	Cardcaptor Sakura: Clear Card-hen
candy-boy-side-story-for-archive	Candy☆Boy: Side Story For Archive
casshern-sins	Casshern Sins
candy-boy	Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life
candy-boy-ex02	Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron
chaos-child	ChäoS;Child
chobits	Chobits
chobits-recap	Chobits Recap
chobits-chibits	Chobits: Chibits
carnival-phantasm	Carnival Phantasm
carnival-phantasm-ex-season	Carnival Phantasm EX Season
carnival-phantasm-illya-jou	Carnival Phantasm: Illya-jou
carnival-phantasm-hibichika-special	Carnival Phantasm: HibiChika Special
c-the-money-of-soul-and-possibility-control	C: The Money of Soul and Possibility Control
comic-party	Comic Party
tenkuu-no-shiro-laputa	Castle in the Sky
cluster-edge	Cluster Edge
centaur-no-nayami	Centaur no Nayami
chuu-bra	Chuu Bra!!
cheer-danshi	Cheer Danshi!!
cheer-danshi-recap	Cheer Danshi!! Recap
canaan	Canaan
